file,sku_main,old_skus,new_skus,passed
output_1.txt,JNE3371-KR-XL,"['JNE3721-KR-XL', 'JNE3620-KR-XL', 'JNE3762-KR-XL', 'JNE3549-KR-XL', 'JNE3425-KR-XL']","['JNE3721-KR-XL', 'JNE3620-KR-XL', 'JNE3549-KR-XL', 'JNE3762-KR-XL', 'JNE3425-KR-XL']",True
output_10.txt,JNE3405-KR-XL,"['JNE3567-KR-XL', 'JNE3568-KR-XL', 'JNE3423-KR-XL', 'JNE3613-KR-XL', 'JNE3777-KR-XL']","['JNE3567-KR-XL', 'JNE3568-KR-XL', 'JNE3423-KR-XL', 'JNE3613-KR-XL', 'JNE3716-KR-XL']",False
output_100.txt,NW032-ST-CP-XXL,[],[],True
output_1000.txt,SET302-KR-PP-M,[],[],True
output_1001.txt,J0124-TP-XXL,"['J0202-TP-XXL', 'J0307-TP-XXL', 'J0080-TP-XXL']","['J0202-TP-XXL', 'J0307-TP-XXL', 'J0080-TP-XXL']",True
output_1002.txt,J0179-KR-L,"['JNE3810-KR-L', 'JNE3888-KR-L', 'JNE3577-KR-L', 'JNE3908-KR-L', 'MEN5026-KR-L']","['JNE3810-KR-L', 'JNE3888-KR-L', 'JNE3577-KR-L', 'JNE3908-KR-L', 'MEN5026-KR-L']",True
output_1003.txt,JNE3793-KR-S,"['JNE3543-KR-S', 'JNE3786-KR-S', 'JNE3622-KR-S', 'JNE3751-KR-S', 'JNE3541-KR-S']","['JNE3543-KR-S', 'JNE3786-KR-S', 'JNE3622-KR-S', 'JNE3751-KR-S', 'JNE3541-KR-S']",True
output_1004.txt,SET171-KR-NP-XL,"['SET264-KR-NP-XL', 'SET269-KR-NP-XL']","['SET264-KR-NP-XL', 'SET269-KR-NP-XL']",True
output_1005.txt,JNE3785-KR-M,"['JNE3623-KR-M', 'JNE3752-KR-M', 'JNE3461-KR-M', 'JNE3476-KR-M', 'J0075-KR-M']","['JNE3752-KR-M', 'JNE3623-KR-M', 'JNE3461-KR-M', 'JNE3476-KR-M', 'J0075-KR-M']",True
output_1006.txt,JNE3518-KR-L,"['JNE3704-KR-L', 'JNE3560-KR-L', 'JNE3783-KR-L', 'JNE3559-KR-L', 'JNE3606-KR-L']","['JNE3704-KR-L', 'JNE3560-KR-L', 'JNE3783-KR-L', 'JNE3559-KR-L', 'JNE3396-KR-L']",False
