SKU,Category,Style,Size,Amount,Core,price_level
JNE3371-KR-XL,kurta,JNE3371,XL,329.0,KR,low
JNE3671-TU-XXXL,Top,JNE3671,3XL,574.0,TU,Medium
SET264-KR-NP-XL,Set,SET264,XL,824.0,KR-NP,Premium
J0095-SET-L,Set,J0095,L,653.0,SET,High
JNE3461-KR-XXL,kurta,JNE3461,XXL,363.0,KR,low
JNE3160-KR-G-S,kurta,JNE3160,S,685.0,KR-G,High
JNE3500-KR-XS,kurta,JNE3500,XS,364.0,KR,low
SET182-KR-DH-XS,Set,SET182,XS,657.0,KR-DH,High
JNE3721-KR-XXL,kurta,JNE3721,XXL,329.0,KR,low
JNE3405-KR-XL,kurta,JNE3405,XL,399.0,KR,low
SET254-KR-NP-XS,Set,SET254,XS,886.0,KR-NP,Premium
JNE3795-KR-XXXL,kurta,JNE3795,3XL,517.0,KR,Medium
SET345-KR-NP-M,Set,SET345,M,666.0,KR-NP,High
JNE3373-KR-L,kurta,JNE3373,L,376.0,KR,low
MEN5002-KR-L,kurta,MEN5002,L,499.0,KR,Medium
PJNE2199-KR-N-4XL,kurta,PJNE2199,4XL,459.0,KR-N,Medium
JNE3567-KR-M,kurta,JNE3567,M,399.0,KR,low
J0341-DR-S,Western Dress,J0341,S,791.0,DR,Premium
MEN5009-KR-XL,kurta,MEN5009,XL,499.0,KR,Medium
JNE3373-KR-XL,kurta,JNE3373,XL,376.0,KR,low
SET345-KR-NP-L,Set,SET345,L,666.0,KR-NP,High
JNE3787-KR-S,kurta,JNE3787,S,487.0,KR,Medium
JNE3543-KR-S,kurta,JNE3543,S,368.0,KR,low
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
J0211-DR-XXL,Ethnic Dress,J0211,XXL,699.0,DR,High
J0401-DR-XXXL,Western Dress,J0401,3XL,885.0,DR,Premium
SET360-KR-NP-M,Set,SET360,M,1126.0,KR-NP,Premium
SET268-KR-NP-L,Set,SET268,L,788.0,KR-NP,High
SET183-KR-DH-S,Set,SET183,S,759.0,KR-DH,High
J0230-SKD-L,Set,J0230,L,1146.0,SKD,Luxury
JNE3744-TU-S,Top,JNE3744,S,665.0,TU,High
JNE3510-KR-S,kurta,JNE3510,S,429.0,KR,low
J0186-SET-S,Set,J0186,S,848.0,SET,Premium
J0003-SET-M,Set,J0003,M,654.0,SET,High
SET282-KR-PP-M,Set,SET282,M,1033.0,KR-PP,Premium
JNE1407-BLACK-KR-UDF18-XL,kurta,JNE1407,XL,390.0,BLACK-KR-UDF18,low
J0301-TP-L,Top,J0301,L,493.0,TP,Medium
JNE3869-DR-S,Western Dress,JNE3869,S,721.0,DR,High
SET324-KR-NP-XS,Set,SET324,XS,597.0,KR-NP,Medium
JNE3405-KR-L,kurta,JNE3405,L,399.0,KR,low
SET279-LC-S,Set,SET279,S,888.0,LC,Premium
JNE2014-KR-178-XXL,kurta,JNE2014,XXL,353.0,KR-178,low
JNE2270-KR-487-A-M,kurta,JNE2270,M,518.0,KR-487-A,Medium
JNE3579-KR-M,kurta,JNE3579,M,295.0,KR,low
SET347-KR-NP-XS,Set,SET347,XS,852.0,KR-NP,Premium
SET264-KR-NP-M,Set,SET264,M,824.0,KR-NP,Premium
SET333-KR-DPT-XXL,Set,SET333,XXL,909.0,KR-DPT,Premium
JNE3645-TP-N-L,Top,JNE3645,L,432.0,TP-N,low
SET233-KR-PP-L,Set,SET233,L,545.0,KR-PP,Medium
J0381-SKD-XXXL,Set,J0381,3XL,1146.0,SKD,Luxury
JNE3718-KR-M,kurta,JNE3718,M,432.0,KR,low
JNE3745-KR-XXL,kurta,JNE3745,XXL,316.0,KR,low
JNE3721-KR-L,kurta,JNE3721,L,329.0,KR,low
JNE3405-KR-XXL,kurta,JNE3405,XXL,399.0,KR,low
SET295-KR-NP-XXXL,Set,SET295,3XL,751.0,KR-NP,High
JNE3861-DR-XL,Western Dress,JNE3861,XL,791.0,DR,Premium
SET288-KR-NP-XXXL,Set,SET288,3XL,684.0,KR-NP,High
SET394-KR-NP-XXXL,Set,SET394,3XL,1281.0,KR-NP,Luxury
SET397-KR-NP-XXXL,Set,SET397,3XL,1186.0,KR-NP,Luxury
MEN5002-KR-XXL,kurta,MEN5002,XXL,499.0,KR,Medium
J0343-DR-M,Western Dress,J0343,M,744.0,DR,High
J0341-DR-XL,Western Dress,J0341,XL,744.0,DR,High
JNE3560-KR-M,kurta,JNE3560,M,487.0,KR,Medium
